gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,gender,age,tissue
GSE116470,GSM3239657,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239658,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Striatum
GSE116470,GSM3239659,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239660,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239661,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239662,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239663,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239664,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239665,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239666,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239667,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239668,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239669,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Substantia Nigra/Ventral Tegmental Area
GSE116470,GSM3239670,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239671,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239672,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239673,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239674,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239675,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239676,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239677,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239678,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239679,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239680,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239681,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
GSE116470,GSM3239682,P60-70 Male Mice,Mus musculus,NONE,Male,P60-70,Thalamus
