gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708847,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708848,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708849,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708850,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708851,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708852,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708853,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708854,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708855,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708856,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708857,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708858,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708859,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708860,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708861,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708862,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708863,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708864,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708865,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708866,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708867,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708868,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708869,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708870,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708871,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708872,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708873,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708874,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708875,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708876,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708877,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708878,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708879,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
