gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1840243,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840244,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840245,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840246,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840247,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840248,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840249,Primary visual cortex,Mus musculus,NONE,NA,RCFL-tdT (Ai65)
GSE71585,GSM1840257,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840258,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840261,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840262,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840263,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840264,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840303,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840304,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840305,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840306,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840307,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840308,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840309,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840310,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840311,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840312,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840313,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840314,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840315,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840316,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840317,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840318,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840319,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840320,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840321,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840322,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840323,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840324,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840325,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840326,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840327,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840328,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840329,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840330,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840331,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840332,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840333,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840334,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840351,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840352,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840353,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840354,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840355,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840356,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840357,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840358,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840359,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840360,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840361,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840362,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840363,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840364,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840381,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840382,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840383,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840384,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840385,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840386,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840387,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840388,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840389,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840390,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840391,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840392,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840393,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840394,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840395,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840396,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840397,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840398,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840399,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840400,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840401,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840402,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840403,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840404,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840405,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840406,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840407,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840408,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840409,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840410,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840411,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840412,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840413,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840414,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840415,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840416,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840417,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840418,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840419,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840420,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840421,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840422,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840423,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840424,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840425,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840426,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840427,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840428,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840429,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840431,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840432,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840433,Primary visual cortex,Mus musculus,NONE,VISp,NA
