gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_area
GSE114000,GSM3128383,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128383/suppl/GSM3128383_105F4_S126.count.txt.gz,Cortex
GSE114000,GSM3128384,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128384/suppl/GSM3128384_105F7_S150.count.txt.gz,Cortex
GSE114000,GSM3128385,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128385/suppl/GSM3128385_105F8_S158.count.txt.gz,Cortex
GSE114000,GSM3128386,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128386/suppl/GSM3128386_105F9_S166.count.txt.gz,Cortex
GSE114000,GSM3128387,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128387/suppl/GSM3128387_105G10_S175.count.txt.gz,Cortex
GSE114000,GSM3128388,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128388/suppl/GSM3128388_105G11_S183.count.txt.gz,Cortex
GSE114000,GSM3128389,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128389/suppl/GSM3128389_105G2_S111.count.txt.gz,Cortex
GSE114000,GSM3128390,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128390/suppl/GSM3128390_105G3_S119.count.txt.gz,Cortex
GSE114000,GSM3128391,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128391/suppl/GSM3128391_105G4_S127.count.txt.gz,Cortex
GSE114000,GSM3128392,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128392/suppl/GSM3128392_105G5_S135.count.txt.gz,Cortex
GSE114000,GSM3128393,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128393/suppl/GSM3128393_105G6_S143.count.txt.gz,Cortex
GSE114000,GSM3128394,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128394/suppl/GSM3128394_105G8_S159.count.txt.gz,Cortex
GSE114000,GSM3128395,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128395/suppl/GSM3128395_105G9_S167.count.txt.gz,Cortex
GSE114000,GSM3128396,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128396/suppl/GSM3128396_105H10_S176.count.txt.gz,Cortex
GSE114000,GSM3128397,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128397/suppl/GSM3128397_105H11_S184.count.txt.gz,Cortex
GSE114000,GSM3128398,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128398/suppl/GSM3128398_105H2_S112.count.txt.gz,Cortex
GSE114000,GSM3128399,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128399/suppl/GSM3128399_105H6_S144.count.txt.gz,Cortex
GSE114000,GSM3128400,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128400/suppl/GSM3128400_105H7_S152.count.txt.gz,Cortex
GSE114000,GSM3128401,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128401/suppl/GSM3128401_105H8_S160.count.txt.gz,Cortex
GSE114000,GSM3128402,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128402/suppl/GSM3128402_105H9_S168.count.txt.gz,Cortex
GSE114000,GSM3128403,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128403/suppl/GSM3128403_115A10_S265.count.txt.gz,Cortex
GSE114000,GSM3128404,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128404/suppl/GSM3128404_115A11_S273.count.txt.gz,Cortex
GSE114000,GSM3128405,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128405/suppl/GSM3128405_115A12_S281.count.txt.gz,Cortex
GSE114000,GSM3128406,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128406/suppl/GSM3128406_115A1_S193.count.txt.gz,Cortex
GSE114000,GSM3128407,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128407/suppl/GSM3128407_115A2_S201.count.txt.gz,Cortex
GSE114000,GSM3128408,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128408/suppl/GSM3128408_115A3_S209.count.txt.gz,Cortex
GSE114000,GSM3128409,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128409/suppl/GSM3128409_115A4_S217.count.txt.gz,Cortex
GSE114000,GSM3128410,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128410/suppl/GSM3128410_115A5_S225.count.txt.gz,Cortex
GSE114000,GSM3128411,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128411/suppl/GSM3128411_115A6_S233.count.txt.gz,Cortex
GSE114000,GSM3128412,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128412/suppl/GSM3128412_115A7_S241.count.txt.gz,Cortex
GSE114000,GSM3128413,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128413/suppl/GSM3128413_115A8_S249.count.txt.gz,Cortex
GSE114000,GSM3128414,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128414/suppl/GSM3128414_115B10_S266.count.txt.gz,Cortex
GSE114000,GSM3128415,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128415/suppl/GSM3128415_115B11_S274.count.txt.gz,Cortex
GSE114000,GSM3128416,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128416/suppl/GSM3128416_115B12_S282.count.txt.gz,Cortex
GSE114000,GSM3128417,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128417/suppl/GSM3128417_115B1_S194.count.txt.gz,Cortex
GSE114000,GSM3128418,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128418/suppl/GSM3128418_115B3_S210.count.txt.gz,Cortex
GSE114000,GSM3128419,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128419/suppl/GSM3128419_115B4_S218.count.txt.gz,Cortex
GSE114000,GSM3128420,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128420/suppl/GSM3128420_115B5_S226.count.txt.gz,Cortex
GSE114000,GSM3128421,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128421/suppl/GSM3128421_115B7_S242.count.txt.gz,Cortex
GSE114000,GSM3128422,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128422/suppl/GSM3128422_115B8_S250.count.txt.gz,Cortex
GSE114000,GSM3128423,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128423/suppl/GSM3128423_115B9_S258.count.txt.gz,Cortex
GSE114000,GSM3128424,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128424/suppl/GSM3128424_115C10_S267.count.txt.gz,Cortex
GSE114000,GSM3128425,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128425/suppl/GSM3128425_115C11_S275.count.txt.gz,Cortex
GSE114000,GSM3128426,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128426/suppl/GSM3128426_115C12_S283.count.txt.gz,Cortex
GSE114000,GSM3128427,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128427/suppl/GSM3128427_115C1_S195.count.txt.gz,Cortex
GSE114000,GSM3128428,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128428/suppl/GSM3128428_115C2_S203.count.txt.gz,Cortex
GSE114000,GSM3128429,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128429/suppl/GSM3128429_115C4_S219.count.txt.gz,Cortex
GSE114000,GSM3128430,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128430/suppl/GSM3128430_115C5_S227.count.txt.gz,Cortex
GSE114000,GSM3128431,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128431/suppl/GSM3128431_115C6_S235.count.txt.gz,Cortex
GSE114000,GSM3128432,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128432/suppl/GSM3128432_115C7_S243.count.txt.gz,Cortex
GSE114000,GSM3128433,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128433/suppl/GSM3128433_115C8_S251.count.txt.gz,Cortex
GSE114000,GSM3128434,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128434/suppl/GSM3128434_115C9_S259.count.txt.gz,Cortex
GSE114000,GSM3128435,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128435/suppl/GSM3128435_115D11_S276.count.txt.gz,Cortex
GSE114000,GSM3128436,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128436/suppl/GSM3128436_115D12_S284.count.txt.gz,Cortex
GSE114000,GSM3128437,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128437/suppl/GSM3128437_115D1_S196.count.txt.gz,Cortex
GSE114000,GSM3128438,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128438/suppl/GSM3128438_115D2_S204.count.txt.gz,Cortex
GSE114000,GSM3128439,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128439/suppl/GSM3128439_115D3_S212.count.txt.gz,Cortex
GSE114000,GSM3128440,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128440/suppl/GSM3128440_115D4_S220.count.txt.gz,Cortex
GSE114000,GSM3128441,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128441/suppl/GSM3128441_115D5_S228.count.txt.gz,Cortex
GSE114000,GSM3128442,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128442/suppl/GSM3128442_115D6_S236.count.txt.gz,Cortex
GSE114000,GSM3128443,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128443/suppl/GSM3128443_115D7_S244.count.txt.gz,Cortex
GSE114000,GSM3128444,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128444/suppl/GSM3128444_115E10_S269.count.txt.gz,Cortex
GSE114000,GSM3128445,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128445/suppl/GSM3128445_115E11_S277.count.txt.gz,Cortex
GSE114000,GSM3128446,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128446/suppl/GSM3128446_115E12_S285.count.txt.gz,Cortex
GSE114000,GSM3128447,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128447/suppl/GSM3128447_115E1_S197.count.txt.gz,Cortex
GSE114000,GSM3128448,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128448/suppl/GSM3128448_115E2_S205.count.txt.gz,Cortex
GSE114000,GSM3128449,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128449/suppl/GSM3128449_115E3_S213.count.txt.gz,Cortex
GSE114000,GSM3128450,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128450/suppl/GSM3128450_115E4_S221.count.txt.gz,Cortex
GSE114000,GSM3128451,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128451/suppl/GSM3128451_115E5_S229.count.txt.gz,Cortex
GSE114000,GSM3128452,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128452/suppl/GSM3128452_115E7_S245.count.txt.gz,Cortex
GSE114000,GSM3128453,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128453/suppl/GSM3128453_115E9_S261.count.txt.gz,Cortex
GSE114000,GSM3128454,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128454/suppl/GSM3128454_115F10_S270.count.txt.gz,Cortex
GSE114000,GSM3128455,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128455/suppl/GSM3128455_115F11_S278.count.txt.gz,Cortex
GSE114000,GSM3128456,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128456/suppl/GSM3128456_115F1_S198.count.txt.gz,Cortex
GSE114000,GSM3128457,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128457/suppl/GSM3128457_115F2_S206.count.txt.gz,Cortex
GSE114000,GSM3128458,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128458/suppl/GSM3128458_115F3_S214.count.txt.gz,Cortex
GSE114000,GSM3128459,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128459/suppl/GSM3128459_115F4_S222.count.txt.gz,Cortex
GSE114000,GSM3128460,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128460/suppl/GSM3128460_115F5_S230.count.txt.gz,Cortex
GSE114000,GSM3128461,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128461/suppl/GSM3128461_115F6_S238.count.txt.gz,Cortex
GSE114000,GSM3128462,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128462/suppl/GSM3128462_115F7_S246.count.txt.gz,Cortex
GSE114000,GSM3128463,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128463/suppl/GSM3128463_115F8_S254.count.txt.gz,Cortex
GSE114000,GSM3128464,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128464/suppl/GSM3128464_115F9_S262.count.txt.gz,Cortex
GSE114000,GSM3128465,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128465/suppl/GSM3128465_115G2_S207.count.txt.gz,Cortex
GSE114000,GSM3128466,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128466/suppl/GSM3128466_115G3_S215.count.txt.gz,Cortex
GSE114000,GSM3128467,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128467/suppl/GSM3128467_115G4_S223.count.txt.gz,Cortex
GSE114000,GSM3128468,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128468/suppl/GSM3128468_115G5_S231.count.txt.gz,Cortex
GSE114000,GSM3128469,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128469/suppl/GSM3128469_115G8_S255.count.txt.gz,Cortex
GSE114000,GSM3128470,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128470/suppl/GSM3128470_115G9_S263.count.txt.gz,Cortex
GSE114000,GSM3128471,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128471/suppl/GSM3128471_115H10_S272.count.txt.gz,Cortex
GSE114000,GSM3128472,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128472/suppl/GSM3128472_115H11_S280.count.txt.gz,Cortex
GSE114000,GSM3128473,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128473/suppl/GSM3128473_115H1_S200.count.txt.gz,Cortex
GSE114000,GSM3128474,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128474/suppl/GSM3128474_115H2_S208.count.txt.gz,Cortex
