gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,gender
GSE117891,GSM3314579,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314579/suppl/GSM3314579_S11P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314580,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314580/suppl/GSM3314580_S11P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314581,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314581/suppl/GSM3314581_S11P3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314582,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314582/suppl/GSM3314582_S11P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314583,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314583/suppl/GSM3314583_S11P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314584,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314584/suppl/GSM3314584_S11P6.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314585,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314585/suppl/GSM3314585_S12P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314586,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314586/suppl/GSM3314586_S12P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314587,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314587/suppl/GSM3314587_S12P3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314588,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314588/suppl/GSM3314588_S12P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314589,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314589/suppl/GSM3314589_S12P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314590,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314590/suppl/GSM3314590_S13P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314591,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314591/suppl/GSM3314591_S13P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314592,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314592/suppl/GSM3314592_S13P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314593,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314593/suppl/GSM3314593_S13P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314594,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314594/suppl/GSM3314594_S13P6.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314595,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314595/suppl/GSM3314595_S14P1.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314596,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314596/suppl/GSM3314596_S14P2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314597,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314597/suppl/GSM3314597_S14P3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314598,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314598/suppl/GSM3314598_S14P4.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314599,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314599/suppl/GSM3314599_S14P5.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314600,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314600/suppl/GSM3314600_S15P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314601,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314601/suppl/GSM3314601_S15P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314602,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314602/suppl/GSM3314602_S15P3.UMI_count.tsv.gz,Brain,male
