gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE104323,GSM2795357,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795358,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795359,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795360,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795361,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795362,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795363,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795364,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795365,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795366,dentate gyrus,Mus musculus,NONE,P18
GSE104323,GSM2795367,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795368,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795369,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795370,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795371,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795372,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795373,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795374,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795375,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795376,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795377,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795378,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795379,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795380,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795381,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795382,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795383,dentate gyrus,Mus musculus,NONE,P19
GSE104323,GSM2795384,dentate gyrus,Mus musculus,NONE,P19
